OTU	663-046_Screening_Fecal_S121_L008	663-033_Screening_Fecal_S111_L008	663-026_Screening_Fecal_S103_L008	663-006_Screening_Fecal_S77_L008	663-004_Screening_Fecal_S75_L008	663-023_End_of_Treatment_S100_L008	663-013_C7D1_S85_L008	663-040_Screening_Fecal_S117_L008	663-007_Screening_Fecal_S78_L008	663-054_Screening_Fecal_S128_L008	663-038_Screening_Fecal_S114_L008	663-029_Screening_Fecal_S106_L008	663-030_Screening_Fecal_S107_L008	663-015_Screening_Fecal_S89_L008	663-040_C7D1_S118_L008	663-022_Screening_Fecal_S98_L008	663-032_Screening_Fecal_S109_L008	663-009_Screening_Fecal_S79_L008	663-023_Screening_Fecal_S99_L008	663-014_C7D1_S87_L008	663-045_Screening_Fecal_S119_L008	663-014_Screening_Fecal_S86_L008	663-028_Screening_Fecal_S105_L008	663-034_Screening_Fecal_S112_L008	663-052_Screening_Fecal_S125_L008	663-013_Screening_Fecal_S84_L008	663-021_Screening_Fecal_S97_L008	663-031_C7D1_S108_L008	663-003_Screening_Fecal_S73_L008	663-039_End_of_Treatment_S116_L008	663-020_Screening_Fecal_S95_L008	663-046_C7D1_S122_L008	663-003_End_of_Treatment_S74_L008	663-034_C7D1_S113_L008	663-018_Screening_Fecal_S92_L008	663-019_Screening_Fecal_S93_L008	663-051_Screening_Fecal_S124_L008	663-053_Screening_Fecal_S127_L008	663-002_Screening_Fecal_S71_L008	663-026_C7D1_S104_L008	663-009_C7D1_S80_L008	663-048_Screening_Fecal_S123_L008	663-045_End_of_Treatment_S120_L008	663-039_Screening_Fecal_S115_L008	663-014_End_of_Treatment_S88_L008	663-002_End_of_Treatment_S72_L008	663-052_End_of_Treatment_S126_L008	663-025_Screening_Fecal_S102_L008	663-011_Screening_Fecal_S81_L008	663-020_End_of_Treatment_S96_L008	663-017_Screening_Fecal_S91_L008	663-005_Screening_Fecal_S76_L008	663-024_Screening_Fecal_S101_L008	663-016_Screening_Fecal_S90_L008	663-012_Screening_Fecal_S82_L008	663-019_C7D1_S94_L008	663-012_End_of_Treatment_S83_L008	663-032_C7D1_S110_L008
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	1.05592	0	0.6902699999999999	0.17697000000000002	2.24534	0.25143000000000004	0.45852	0.45475	0.39278	0.26421	0.73306	2.79491	0.17882	0.8346299999999999	0.93758	0	0	2.25342	0.59332	1.8304099999999999	0	3.59018	0.73421	0.96398	0.9218200000000001	1.4501700000000002	0.25889	0	1.7066400000000002	0.6901	0.12476	2.51594	1.85263	0.81501	0	1.0356	0	0.09572	0.80328	3.30643	0.09286	0.26016999999999996	0	1.50589	1.54193	0.4105	0.02265	0.6755800000000001	1.0936299999999999	0.08369	0	0.46145	1.4072	0	0	0.18673	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.02259	1.50488	2.0583299999999998	0.6632600000000001	0.02103	0.6793600000000001	2.235	0	1.56617	2.50711	7.798080000000001	0.05797000000000001	1.95005	0.04748	0	0	16.61381	3.38866	0.1318	1.96595	0	3.1536299999999997	1.28609	11.54396	0.71477	4.90797	3.62494	0	0	0.02487	5.39623	0	0.06884	15.343960000000001	0	0.0018100000000000002	2.64223	0	0.42927	0.13419	3.40749	2.44759	0	0	3.03266	0.23226	0.23535	0.0027199999999999998	2.0472599999999996	0.58104	0.19612000000000002	0.5363	0	1.79148	0	7.99994	0	23.1538
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.01694	0.21781	0.2013	0.04258	0.62963	1.1723700000000001	1.06433	0.5099899999999999	0.00484	0.06508	3.09565	0.33132	0.02071	0.4326	0.66175	0.22232	0	0.26321	0.96716	0.0942	0.08135	0.60828	0.21641	0.35233000000000003	0.23755	0.39664	0.04294	1.4139700000000002	0	0.0129	0.10979000000000001	0.39953	0.45733	0.52325	0.22959000000000002	9.90833	0.07661	1.6294	2.10265	0.06704	0.1024	0.0134	0.03284	0.05782999999999999	2.0952599999999997	3.34993	1.05059	0.02453	0.609	0.18111	0.21308000000000002	0.3499	0.4145	0.21445999999999998	0.1399	3.92109	0.08265	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.00609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0.01082	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	34.29847	0.09792000000000001	13.5094	25.97814	4.8571	9.38442	20.76667	17.53364	23.91929	33.79157	10.382060000000001	27.13702	57.347730000000006	31.667370000000002	3.6099699999999997	6.36265	38.399840000000005	12.66902	12.92822	6.02969	35.85205	13.089	9.119760000000001	9.87454	60.24054	28.092340000000004	52.74032	0.36578	49.811690000000006	69.49486999999999	11.25121	18.046429999999997	49.93116	5.3459699999999994	55.8926	16.244629999999997	15.28142	9.03797	7.2977	19.03136	30.825090000000003	26.88472	38.352740000000004	73.45692	16.35783	3.6876	2.43633	28.998009999999997	21.40235	12.45626	43.4417	53.94838000000001	27.0123	20.41863	53.9609	20.23603	35.70823	25.83638
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	22.126179999999998	0.17825	16.35859	11.91467	32.96394	20.46497	27.18351	41.86092	6.656619999999999	33.03782	19.04232	1.82119	10.20853	22.55453	51.15133	54.96998000000001	4.30928	9.737680000000001	16.90512	7.105460000000001	38.87294	8.13444	25.80128	12.59174	14.150929999999999	31.702270000000002	2.7616	33.72103	0.50856	8.31659	26.67193	24.07048	4.40691	22.20318	5.1912	28.58496	27.07287	26.18125	23.22782	14.445260000000001	4.5940900000000005	28.47676	30.529159999999997	3.98145	8.01637	25.536170000000002	1.3916	15.45749	15.57045	51.775209999999994	29.758509999999998	12.30601	11.8362	3.39457	14.3097	7.65348	18.109779999999997	1.7484099999999998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	12.410060000000001	0.12842	14.53914	13.431470000000001	0.40004	2.36246	15.870460000000001	14.056270000000001	1.8774099999999998	11.79725	26.26377	0.7774	0.35544000000000003	2.80462	7.15613	8.657580000000001	27.960279999999997	0.27938	25.29883	27.6115	3.99033	0	0.31801	8.86985	0	1.5036100000000001	6.7754199999999996	1.49058	0.00335	0.47825	6.8476	13.584979999999998	0	6.42973	0	18.55894	27.8055	5.7456	7.849260000000001	2.29471	0	9.58639	7.94309	0.66156	2.9106799999999997	2.12608	4.979480000000001	33.20221	0.67685	4.09753	4.86258	0.61722	2.60356	0	7.39226	1.62522	5.55929	6.95384
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	5.9602699999999995	0.0010199999999999999	3.7266800000000004	6.53841	5.29017	0.13076	3.94334	1.26346	0.9219299999999999	0.93545	2.63364	3.10133	7.79223	0.0994	1.35713	2.60332	1.7674599999999998	0	0.6703399999999999	8.304860000000001	4.20821	15.17786	3.41419	2.30587	3.16919	8.1065	3.6328	6.18403	7.70212	4.27773	6.68549	13.89776	7.31155	2.02275	0.8944799999999999	6.74482	1.7647	5.41469	3.3355099999999998	5.6645	0	3.9035699999999998	0.17989000000000002	7.06446	17.14684	2.50977	0.40845	0.91589	2.34133	5.98223	1.88127	5.5154	18.44805	0	6.25811	1.9889700000000001	6.50903	5.01331
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	4.99311	0.02266	3.9652800000000004	17.46769	0.02115	2.7551	3.07945	2.6800900000000003	26.04598	2.77585	2.7717099999999997	45.25295	0	9.726939999999999	0.71995	4.90509	0.026430000000000002	8.60322	4.75861	0	0	0.00734	4.4104	5.73862	1.82105	7.8531	1.42056	9.52694	1.0638100000000001	3.8369199999999997	17.39025	6.32147	1.8757400000000002	3.7100699999999995	3.1972099999999997	4.73235	3.7323699999999995	3.25482	3.21054	10.13689	6.27689	7.52913	0	3.16099	0	0.8253799999999999	0.34212	5.29146	0.00218	7.38093	0.01807	7.958080000000001	6.62401	0.00085	2.10595	1.7148	3.96496	3.7702199999999997
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	4.93128	0.0059	4.00795	1.18272	3.3328	5.6311	7.769310000000001	6.0713099999999995	6.963769999999999	4.7952	5.33394	3.8878800000000004	0.90551	25.92419	4.26168	10.034410000000001	4.97155	4.87386	3.79925	11.61557	7.250660000000001	10.152999999999999	1.0258	6.47085	12.45462	1.68682	1.52211	15.49562	3.27884	7.207389999999999	2.83475	5.32978	22.388360000000002	5.86874	2.57304	3.3655199999999996	3.03248	4.79479	2.92828	4.61134	4.56088	5.16529	11.72298	2.7330900000000002	20.20842	5.41084	2.06694	9.63975	1.27706	3.87203	6.03376	5.34328	3.4372	13.89211	9.836969999999999	5.01728	27.10412	0.63417
